generation,car_id,start_position_x,start_position_y,end_position_x,end_position_y,is_alive,total_distance,total_time,reward
1,1,978.7532917096707,149.50607424164716,978.7532917096707,149.50607424164716,False,55,11,0.7741682008633191
2,1,978.7532917096707,149.50607424164716,978.7532917096707,149.50607424164716,False,55,11,0.7741682008633191
2,1,980.2151502332845,154.28759802146234,978.7532917096707,149.50607424164716,False,55,11,0.7762518088285282
2,2,980.2151502332845,154.28759802146234,980.2151502332845,154.28759802146234,False,5,1,0.8062518088285282
3,1,980.2151502332845,154.28759802146234,978.7532917096707,149.50607424164716,False,55,11,0.7762518088285282
3,2,980.2151502332845,154.28759802146234,980.2151502332845,154.28759802146234,False,5,1,0.8062518088285282
3,1,978.7532917096707,159.06912180127753,978.7532917096707,149.50607424164716,False,55,11,0.7790252824587783
3,2,978.7532917096707,159.06912180127753,980.2151502332845,154.28759802146234,False,5,1,0.8090252824587782
3,3,978.7532917096707,159.06912180127753,978.7532917096707,159.06912180127753,False,5,1,0.8090252824587782
4,1,978.7532917096707,159.06912180127753,978.7532917096707,149.50607424164716,False,55,11,0.7790252824587783
4,2,978.7532917096707,159.06912180127753,980.2151502332845,154.28759802146234,False,5,1,0.8090252824587782
4,3,978.7532917096707,159.06912180127753,978.7532917096707,159.06912180127753,False,5,1,0.8090252824587782
4,1,977.291433186057,163.85064558109272,978.7532917096707,149.50607424164716,False,55,11,0.7817978668199369
4,2,977.291433186057,163.85064558109272,980.2151502332845,154.28759802146234,False,5,1,0.8117978668199368
4,3,977.291433186057,163.85064558109272,978.7532917096707,159.06912180127753,False,5,1,0.8117978668199368
4,1,975.8295746624433,168.6321693609079,978.7532917096707,149.50607424164716,False,55,11,0.7845695213665773
4,2,975.8295746624433,168.6321693609079,980.2151502332845,154.28759802146234,False,5,1,0.8145695213665773
4,3,975.8295746624433,168.6321693609079,978.7532917096707,159.06912180127753,False,5,1,0.8145695213665773
4,1,974.3677161388296,173.4136931407231,978.7532917096707,149.50607424164716,False,55,11,0.7873402030652834
4,2,974.3677161388296,173.4136931407231,980.2151502332845,154.28759802146234,False,5,1,0.8173402030652834
4,3,974.3677161388296,173.4136931407231,978.7532917096707,159.06912180127753,False,5,1,0.8173402030652834
4,1,972.9058576152158,178.1952169205383,978.7532917096707,149.50607424164716,False,55,11,0.7901098662020474
4,2,972.9058576152158,178.1952169205383,980.2151502332845,154.28759802146234,False,5,1,0.8201098662020474
4,3,972.9058576152158,178.1952169205383,978.7532917096707,159.06912180127753,False,5,1,0.8201098662020474
4,1,971.4439990916021,182.97674070035347,978.7532917096707,149.50607424164716,False,55,11,0.7928784621716154
4,2,971.4439990916021,182.97674070035347,980.2151502332845,154.28759802146234,False,5,1,0.8228784621716154
4,3,971.4439990916021,182.97674070035347,978.7532917096707,159.06912180127753,False,5,1,0.8228784621716154
4,1,969.9821405679884,187.75826448016866,978.7532917096707,149.50607424164716,False,55,11,0.7956459392467874
4,2,969.9821405679884,187.75826448016866,980.2151502332845,154.28759802146234,False,5,1,0.8256459392467874
4,3,969.9821405679884,187.75826448016866,978.7532917096707,159.06912180127753,False,5,1,0.8256459392467874
4,1,968.5202820443747,192.53978825998385,978.7532917096707,149.50607424164716,False,55,11,0.7984122423254291
4,2,968.5202820443747,192.53978825998385,980.2151502332845,154.28759802146234,False,5,1,0.828412242325429
4,3,968.5202820443747,192.53978825998385,978.7532917096707,159.06912180127753,False,5,1,0.828412242325429
4,1,967.0584235207609,197.32131203979904,978.7532917096707,149.50607424164716,False,55,11,0.8011773126526589
4,2,967.0584235207609,197.32131203979904,980.2151502332845,154.28759802146234,False,5,1,0.8311773126526589
4,3,967.0584235207609,197.32131203979904,978.7532917096707,159.06912180127753,False,5,1,0.8311773126526589
4,1,965.5965649971472,202.10283581961423,978.7532917096707,149.50607424164716,False,55,11,0.8039410875153452
4,2,965.5965649971472,202.10283581961423,980.2151502332845,154.28759802146234,False,5,1,0.8339410875153452
4,3,965.5965649971472,202.10283581961423,978.7532917096707,159.06912180127753,False,5,1,0.8339410875153452
4,1,964.1347064735335,206.88435959942942,978.7532917096707,149.50607424164716,False,55,11,0.8067034999056666
4,2,964.1347064735335,206.88435959942942,980.2151502332845,154.28759802146234,False,5,1,0.8367034999056666
4,3,964.1347064735335,206.88435959942942,978.7532917096707,159.06912180127753,False,5,1,0.8367034999056666
4,1,961.3387419561798,211.02954746220462,978.7532917096707,149.50607424164716,False,55,11,0.8094843093887146
4,2,961.3387419561798,211.02954746220462,980.2151502332845,154.28759802146234,False,5,1,0.8394843093887145
4,3,961.3387419561798,211.02954746220462,978.7532917096707,159.06912180127753,False,5,1,0.8394843093887145
4,1,957.4530121488949,214.17614941745381,978.7532917096707,149.50607424164716,False,55,11,0.8120351103588814
4,2,957.4530121488949,214.17614941745381,980.2151502332845,154.28759802146234,False,5,1,0.8420351103588815
4,3,957.4530121488949,214.17614941745381,978.7532917096707,159.06912180127753,False,5,1,0.8420351103588815
4,1,953.56728234161,217.322751372703,978.7532917096707,149.50607424164716,False,55,11,0.8145770524020481
4,2,953.56728234161,217.322751372703,980.2151502332845,154.28759802146234,False,5,1,0.8445770524020482
4,3,953.56728234161,217.322751372703,978.7532917096707,159.06912180127753,False,5,1,0.8445770524020482
4,1,949.6815525343252,220.4693533279522,978.7532917096707,149.50607424164716,False,55,11,0.8171096848103855
4,2,949.6815525343252,220.4693533279522,980.2151502332845,154.28759802146234,False,5,1,0.8471096848103854
4,3,949.6815525343252,220.4693533279522,978.7532917096707,159.06912180127753,False,5,1,0.8471096848103854
